"代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率","涨跌速率","振幅","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前价","盘后价","盘前涨跌幅","盘后涨跌幅","盘前额","盘后额","盘前振幅","盘后振幅","盘前涨跌额","盘后涨跌额","总市值","流通值","总股本","流通股","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业","道琼斯指数相关性","纳斯达克100相关性","标普500相关性","罗素2000相关性","费城半导体指数相关性","VIX指数相关性","恒生指数相关性","恒生科技指数相关性","富时中国50指数相关性","沪深300相关性","富时中国A50指数相关性","日经225相关性","TOPIX指数相关性","富时海峡指数相关性","大马综合指数相关性","TSX相关性","ASX200相关性","期权总成交","期权总持仓","正股IV","正股HV","正股IV-正股HV","IV等级","IV百分位数","行权价","到期日","未平仓数","溢价","隐含波动率","Delta","Gamma","Theta","Vega","Rho","距到期日","内在价值","时间价值","杠杆倍数","有效杠杆","盈亏平衡点","到盈亏平衡","盈利概率"
"00290","国富量子","1.640","-0.030","-1.80%","+0.61%","+29.13%","+107.59%","1.620","1.640","96000","80000","6101000","9970240.00","0.000%","1.650","1.670","1.690","1.600","0.08%","-0.61%","5.39%","亏损","亏损","3.215","0.94","35.27%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","12611558998.36","12611558998.36","7689974999","7689974999","-2.96%","-2.96%","+15.49%","+60.78%","+76.34%","证券及经纪","-","-","-","-","-","-","0.08","0.05","0.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02611","国泰海通","15.660","-0.120","-0.76%","0.00%","+48.93%","+44.27%","15.640","15.660","44000","297800","28426327","442209642.00","2.480%","15.780","15.780","15.800","15.320","0.81%","0.00%","3.04%","11.185","19.624","0.817","0.90","-36.85%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","276081238179.36","54900199219.68","17629708696","3505759848","+5.53%","+16.52%","+33.39%","+52.41%","+114.50%","证券及经纪","-","-","-","-","-","-","0.73","0.74","0.75","-","-","-","-","-","-","-","-","89","1833","36.17%","58.42%","-22.25%","34","37%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01318","毛戈平","102.000","+2.100","+2.10%","+0.29%","-0.32%","+77.47%","101.800","102.000","90800","24900","2160281","217109849.00","0.760%","99.900","99.900","102.000","98.950","0.83%","0.00%","3.05%","52.577","52.577","13.224","0.92","17.35%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","49999063800.00","26707914600.00","490186900","261842300","+0.59%","-2.86%","-5.03%","+51.73%","+251.43%","其他零售商","-","-","-","-","-","-","0.34","0.32","0.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06069","盛业","13.960","-0.820","-5.55%","-0.14%","+10.76%","+106.09%","13.960","14.000","23500","276500","14026000","201861778.00","2.660%","15.120","14.780","15.120","13.800","1.39%","-0.43%","8.93%","34.299","34.299","3.201","0.67","-42.37%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","14073338336.32","14073338336.32","1008118792","1008118792","+15.18%","+15.37%","+22.67%","+83.35%","+214.14%","信贷","-","-","-","-","-","-","0.37","0.35","0.36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09868","小鹏汽车-W","72.150","0.000","0.00%","+0.49%","-8.90%","+54.66%","72.100","72.150","67100","14000","9405323","675857314.00","0.000%","72.000","72.150","72.400","71.200","0.49%","0.56%","1.66%","亏损","亏损","4.128","0.65","-43.80%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","137361913503.75","137361913503.75","1903838025","1903838025","+1.91%","+1.62%","-2.96%","+24.72%","+119.30%","汽车","-","-","-","-","-","-","0.61","0.68","0.60","-","-","-","-","-","-","-","-","4952","155368","63.07%","39.98%","23.09%","52","27%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03068","FA南方以太币","17.530","-0.600","-3.31%","-0.28%","+105.27%","+4.91%","17.500","17.750","3400","2300","802913","14274579.00","0.000%","17.700","18.130","18.120","17.480","6.30%","0.06%","3.53%","-","-","0.984","0.74","23.33%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","223323435.00","223323435.00","12739500","12739500","+22.76%","+43.34%","+61.12%","+6.83%","-2.50%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03066","FA南方比特币","40.140","-0.500","-1.23%","-0.15%","+26.39%","+22.60%","40.040","40.420","5000","1000","253139","10117357.00","0.000%","40.000","40.640","40.300","39.700","1.82%","0.00%","1.48%","-","-","1.011","0.97","-9.54%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","557556642.00","557556642.00","13890300","13890300","+0.75%","+8.66%","+14.88%","+7.67%","+67.95%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09988","阿里巴巴-W","118.000","+0.100","+0.08%","+0.17%","+5.50%","+46.68%","117.900","118.000","543700","1204200","63352702","7425803538.00","1.660%","117.700","117.900","118.200","116.000","0.33%","0.08%","1.87%","16.050","16.050","2.057","0.53","-18.98%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","2251769294104.00","2251769294104.00","19082790628","19082790628","+3.96%","+10.28%","+6.50%","+47.04%","+57.97%","线上零售商","-","-","-","-","-","-","0.84","0.83","0.85","-","-","-","-","-","-","-","-","83664","1930054","42.80%","37.44%","5.35%","6","59%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01478","丘钛科技","10.760","-0.500","-4.44%","+0.37%","+70.79%","+68.65%","10.740","10.760","8000","41000","8990159","98120099.00","0.930%","11.200","11.260","11.260","10.720","0.76%","0.37%","4.80%","42.529","42.529","2.327","1.13","7.62%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","12799358671.00","12799358671.00","1189531475","1189531475","+0.94%","+22.55%","+45.21%","+59.41%","+118.70%","电子零件","-","-","-","-","-","-","0.50","0.52","0.47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01801","信达生物","87.600","-1.050","-1.18%","+0.75%","+59.42%","+139.34%","87.600","87.650","1500","20000","17778049","1586737677.00","0.000%","88.650","88.650","92.000","86.550","1.04%","0.34%","6.15%","亏损","亏损","10.570","1.04","-57.91%","0.000","0.000","0.00%","0.00%","0.00","0.00","0.00","0.00","0.000","0.000","149746174959.60","149746174959.60","1709431221","1709431221","+1.98%","+6.38%","+11.03%","+174.61%","+124.04%","药品","-","-","-","-","-","-","0.39","0.40","0.38","-","-","-","-","-","-","-","-","970","12471","53.34%","43.30%","10.04%","46","43%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
